alcohol,malic_acid,total_phenols,color_intensity,hue
14.23,1.71,2.8,5.64,1.04
13.2,1.78,2.65,4.38,1.05
13.16,2.36,2.8,5.68,1.03
14.37,1.95,3.85,7.8,0.86
13.24,2.59,2.8,4.32,1.04
14.2,1.76,3.27,6.75,1.05
14.39,1.87,2.5,5.25,1.02
14.06,2.15,2.6,5.05,1.06
14.83,1.64,2.8,5.2,1.08
13.86,1.35,2.98,7.22,1.01
14.1,2.16,2.95,5.75,1.25
14.12,1.48,2.2,5.0,1.17
13.75,1.73,2.6,5.6,1.15
14.75,1.73,3.1,5.4,1.25
14.38,1.87,3.3,7.5,1.2
13.63,1.81,2.85,7.3,1.28
14.3,1.92,2.8,6.2,1.07
13.83,1.57,2.95,6.6,1.13
14.19,1.59,3.3,8.7,1.23
13.64,3.1,2.7,5.1,0.96
14.06,1.63,3.0,5.65,1.09
12.93,3.8,2.41,4.5,1.03
13.71,1.86,2.61,3.8,1.11
12.85,1.6,2.48,3.93,1.09
13.5,1.81,2.53,3.52,1.12
13.05,2.05,2.63,3.58,1.13
13.39,1.77,2.85,4.8,0.92
13.3,1.72,2.4,3.95,1.02
13.87,1.9,2.95,4.5,1.25
14.02,1.68,2.65,4.7,1.04
13.73,1.5,3.0,5.7,1.19
13.58,1.66,2.86,6.9,1.09
13.68,1.83,2.42,3.84,1.23
13.76,1.53,2.95,5.4,1.25
13.51,1.8,2.35,4.2,1.1
13.48,1.81,2.7,5.1,1.04
13.28,1.64,2.6,4.6,1.09
13.05,1.65,2.45,4.25,1.12
13.07,1.5,2.4,3.7,1.18
14.22,3.99,3.0,5.1,0.89
13.56,1.71,3.15,6.13,0.95
13.41,3.84,2.45,4.28,0.91
13.88,1.89,3.25,5.43,0.88
13.24,3.98,2.64,4.36,0.82
13.05,1.77,3.0,5.04,0.88
14.21,4.04,2.85,5.24,0.87
14.38,3.59,3.25,4.9,1.04
13.9,1.68,3.1,6.1,0.91
14.1,2.02,2.75,6.2,1.07
13.94,1.73,2.88,8.9,1.12
13.05,1.73,2.72,7.2,1.12
13.83,1.65,2.45,5.6,1.24
13.82,1.75,3.88,7.05,1.01
13.77,1.9,3.0,6.3,1.13
13.74,1.67,2.6,5.85,0.92
13.56,1.73,2.96,6.25,0.98
14.22,1.7,3.2,6.38,0.94
13.29,1.97,3.0,6.0,1.07
13.72,1.43,3.4,6.8,0.89
12.37,0.94,1.98,1.95,1.05
12.33,1.1,2.05,3.27,1.25
12.64,1.36,2.02,5.75,0.98
13.67,1.25,2.1,3.8,1.23
12.37,1.13,3.5,4.45,1.22
12.17,1.45,1.89,2.95,1.45
12.37,1.21,2.42,4.6,1.19
13.11,1.01,2.98,5.3,1.12
12.37,1.17,2.11,4.68,1.12
13.34,0.94,2.53,3.17,1.02
12.21,1.19,1.85,2.85,1.28
12.29,1.61,1.1,3.05,0.906
13.86,1.51,2.95,3.38,1.36
13.49,1.66,1.88,3.74,0.98
12.99,1.67,3.3,3.35,1.31
11.96,1.09,3.38,3.21,0.99
11.66,1.88,1.61,3.8,1.23
13.03,0.9,1.95,4.6,1.19
11.84,2.89,1.72,2.65,0.96
12.33,0.99,1.9,3.4,1.06
12.7,3.87,2.83,2.57,1.19
12.0,0.92,2.42,2.5,1.38
12.72,1.81,2.2,3.9,1.16
12.08,1.13,2.0,2.2,1.31
13.05,3.86,1.65,4.8,0.84
11.84,0.89,2.2,3.05,0.79
12.67,0.98,2.2,2.62,1.23
12.16,1.61,1.78,2.45,1.33
11.65,1.67,1.92,2.6,1.36
11.64,2.06,1.95,2.8,1.0
12.08,1.33,2.2,1.74,1.07
12.08,1.83,1.6,2.4,1.08
12.0,1.51,1.45,3.6,1.05
12.69,1.53,1.38,3.05,0.96
12.29,2.83,2.45,2.15,1.15
11.62,1.99,3.02,3.25,1.16
12.47,1.52,2.5,2.6,1.16
11.81,2.12,1.6,2.5,0.95
12.29,1.41,2.55,2.9,1.23
12.37,1.07,3.52,4.5,1.04
12.29,3.17,2.85,2.3,1.42
12.08,2.08,2.23,3.3,1.27
12.6,1.34,1.45,2.45,1.04
12.34,2.45,2.56,2.8,0.8
11.82,1.72,2.5,2.06,0.94
12.51,1.73,2.2,2.94,1.04
12.42,2.55,1.68,2.7,0.86
12.25,1.73,1.65,3.4,1.0
12.72,1.75,1.38,3.3,0.88
12.22,1.29,2.36,2.7,0.86
11.61,1.35,2.74,2.65,0.96
11.46,3.74,3.18,2.9,0.75
12.52,2.43,2.55,2.0,0.9
11.76,2.68,1.75,3.8,1.23
11.41,0.74,2.48,3.08,1.1
12.08,1.39,2.56,2.9,0.93
11.03,1.51,2.46,1.9,1.71
11.82,1.47,1.98,1.95,0.95
12.42,1.61,2.0,2.06,1.06
12.77,3.43,1.63,3.4,0.7
12.0,3.43,2.0,1.28,0.93
11.45,2.4,2.9,3.25,0.8
11.56,2.05,3.18,6.0,0.93
12.42,4.43,2.2,2.08,0.92
13.05,5.8,2.62,2.6,0.73
11.87,4.31,2.86,2.8,0.75
12.07,2.16,2.6,2.76,0.86
12.43,1.53,2.74,3.94,0.69
11.79,2.13,2.13,3.0,0.97
12.37,1.63,2.22,2.12,0.89
12.04,4.3,2.1,2.6,0.79
12.86,1.35,1.51,4.1,0.76
12.88,2.99,1.3,5.4,0.74
12.81,2.31,1.15,5.7,0.66
12.7,3.55,1.7,5.0,0.78
12.51,1.24,2.0,5.45,0.75
12.6,2.46,1.62,7.1,0.73
12.25,4.72,1.38,3.85,0.75
12.53,5.51,1.79,5.0,0.82
13.49,3.59,1.62,5.7,0.81
12.84,2.96,2.32,4.92,0.89
12.93,2.81,1.54,4.6,0.77
13.36,2.56,1.4,5.6,0.7
13.52,3.17,1.55,4.35,0.89
13.62,4.95,2.0,4.4,0.91
12.25,3.88,1.38,8.21,0.65
13.16,3.57,1.5,4.0,0.6
13.88,5.04,0.98,4.9,0.58
12.87,4.61,1.7,7.65,0.54
13.32,3.24,1.93,8.42,0.55
13.08,3.9,1.41,9.4,0.57
13.5,3.12,1.4,8.6,0.59
12.79,2.67,1.48,10.8,0.48
13.11,1.9,2.2,7.1,0.61
13.23,3.3,1.8,10.52,0.56
12.58,1.29,1.48,7.6,0.58
13.17,5.19,1.74,7.9,0.6
13.84,4.12,1.8,9.01,0.57
12.45,3.03,1.9,7.5,0.67
14.34,1.68,2.8,13.0,0.57
13.48,1.67,2.6,11.75,0.57
12.36,3.83,2.3,7.65,0.56
13.69,3.26,1.83,5.88,0.96
12.85,3.27,1.65,5.58,0.87
12.96,3.45,1.39,5.28,0.68
13.78,2.76,1.35,9.58,0.7
13.73,4.36,1.28,6.62,0.78
13.45,3.7,1.7,10.68,0.85
12.82,3.37,1.48,10.26,0.72
13.58,2.58,1.55,8.66,0.74
13.4,4.6,1.98,8.5,0.67
12.2,3.03,1.25,5.5,0.66
12.77,2.39,1.39,9.899999,0.57
14.16,2.51,1.68,9.7,0.62
13.71,5.65,1.68,7.7,0.64
13.4,3.91,1.8,7.3,0.7
13.27,4.28,1.59,10.2,0.59
13.17,2.59,1.65,9.3,0.6
14.13,4.1,2.05,9.2,0.61
